query_id	m	theta	hl	segm	gt_l_bucket	gt_r_bucket	gt_J_l	gt_J_r	gt_C_l	gt_C_r	gt_C_l_lmax	gt_C_r_lmax	#J>theta	#C>theta	J>theta	C>theta
S1_546!NC_060948.1!55469720!55480040!-	532	0.75	709	NC_060948.1	3907	3908	0.676562	0.676562	0.81391	0.815789	0.81391	0.81391	0	70	{}	{(NC_060948.1,3908),(NC_060948.1,3907),(NC_060948.1,3916),(NC_060948.1,2611),(NC_060948.1,2610),(NC_060948.1,3155),(NC_060948.1,2791),(NC_060948.1,3915),(NC_060948.1,3156),(NC_060948.1,2790),(NC_060948.1,3917),(NC_060948.1,2609),(NC_060948.1,3154),(NC_060948.1,3207),(NC_060948.1,2647),(NC_060948.1,3965),(NC_060948.1,2832),(NC_060948.1,3206),(NC_060948.1,2833),(NC_060948.1,2549),(NC_060948.1,2733),(NC_060948.1,4268),(NC_060948.1,3966),(NC_060948.1,3631),(NC_060948.1,3517),(NC_060948.1,3161),(NC_060948.1,3129),(NC_060948.1,3068),(NC_060948.1,2580),(NC_060948.1,2581),(NC_060948.1,2792),(NC_060948.1,3157),(NC_060948.1,3745),(NC_060948.1,2520),(NC_060948.1,3099),(NC_060948.1,3065),(NC_060948.1,3066),(NC_060948.1,2518),(NC_060948.1,2763),(NC_060948.1,2702),(NC_060948.1,2703),(NC_060948.1,2699),(NC_060948.1,2700),(NC_060948.1,2517),(NC_060948.1,2521),(NC_060948.1,2764),(NC_060948.1,3437),(NC_060948.1,3160),(NC_060948.1,2698),(NC_060948.1,2516),(NC_060948.1,2519),(NC_060948.1,2548),(NC_060948.1,3069),(NC_060948.1,2701),(NC_060948.1,2550),(NC_060948.1,2732),(NC_060948.1,3098),(NC_060948.1,3067),(NC_060948.1,3918),(NC_060948.1,3064),(NC_060948.1,3128),(NC_060948.1,3392),(NC_060948.1,2765),(NC_060948.1,3520),(NC_060948.1,2648),(NC_060948.1,3746),(NC_060948.1,2612),(NC_060948.1,2704),(NC_060948.1,3162),(NC_060948.1,3632),}
S1_5158!NC_060948.1!14666907!14673157!-	331	0.75	441	NC_060948.1	1648	1649	0.669251	0.669251	0.785498	0.785498	0.785498	0.785498	0	2	{}	{(NC_060948.1,1649),(NC_060948.1,1648),}
S1_1609!NC_060948.1!26744175!26751718!+	332	0.75	442	NC_060948.1	3006	3007	0.682382	0.682382	0.828313	0.828313	0.828313	0.828313	0	3	{}	{(NC_060948.1,2823),(NC_060948.1,3007),(NC_060948.1,3006),}
S1_1457!NC_060948.1!39974135!39983475!+	460	0.75	613	NC_060948.1	3258	3259	0.642984	0.642984	0.786957	0.786957	0.786957	0.786957	0	8	{}	{(NC_060948.1,3687),(NC_060948.1,3688),(NC_060948.1,3258),(NC_060948.1,3259),(NC_060948.1,3046),(NC_060948.1,3047),(NC_060948.1,3045),(NC_060948.1,3256),}
S1_4951!NC_060948.1!54101738!54113598!+	620	0.75	826	NC_060948.1	3273	3274	0.658635	0.658635	0.793548	0.793548	0.793548	0.793548	0	8	{}	{(NC_060948.1,3179),(NC_060948.1,3274),(NC_060948.1,3273),(NC_060948.1,3282),(NC_060948.1,3281),(NC_060948.1,3180),(NC_060948.1,2697),(NC_060948.1,2230),}
S1_3578!NC_060948.1!60039976!60046630!-	313	0.75	417	NC_060948.1	7178	7179	0.699725	0.713889	0.811502	0.821086	0.811502	0.821086	0	7	{}	{(NC_060948.1,7180),(NC_060948.1,7179),(NC_060948.1,7178),(NC_060948.1,6343),(NC_060948.1,6152),(NC_060948.1,6342),(NC_060948.1,6151),}
S1_1501!NC_060948.1!41712737!41722001!+	499	0.75	665	NC_060948.1	3131	3132	0.638474	0.661616	0.787575	0.787575	0.785571	0.787575	0	56	{}	{(NC_060948.1,3131),(NC_060948.1,3132),(NC_060948.1,3526),(NC_060948.1,3130),(NC_060948.1,3525),(NC_060948.1,3164),(NC_060948.1,3163),(NC_060948.1,3559),(NC_060948.1,3560),(NC_060948.1,2424),(NC_060948.1,3133),(NC_060948.1,2423),(NC_060948.1,2425),(NC_060948.1,3527),(NC_060948.1,3170),(NC_060948.1,3136),(NC_060948.1,3137),(NC_060948.1,3165),(NC_060948.1,3129),(NC_060948.1,3135),(NC_060948.1,2343),(NC_060948.1,3531),(NC_060948.1,3561),(NC_060948.1,3166),(NC_060948.1,3530),(NC_060948.1,3529),(NC_060948.1,3528),(NC_060948.1,2350),(NC_060948.1,3128),(NC_060948.1,3524),(NC_060948.1,2426),(NC_060948.1,2427),(NC_060948.1,2349),(NC_060948.1,3123),(NC_060948.1,2347),(NC_060948.1,2342),(NC_060948.1,2340),(NC_060948.1,2404),(NC_060948.1,2251),(NC_060948.1,2253),(NC_060948.1,3127),(NC_060948.1,3126),(NC_060948.1,2294),(NC_060948.1,2295),(NC_060948.1,3156),(NC_060948.1,3155),(NC_060948.1,3519),(NC_060948.1,3169),(NC_060948.1,2540),(NC_060948.1,2433),(NC_060948.1,2405),(NC_060948.1,2410),(NC_060948.1,3522),(NC_060948.1,3523),(NC_060948.1,3551),(NC_060948.1,3552),}
S1_3348!NC_060948.1!14407461!14419512!-	610	0.75	813	NC_060948.1	877	878	0.426686	0.662602	0.477049	0.801639	0.477049	0.801639	0	1	{}	{(NC_060948.1,878),}
S1_8!NC_060948.1!35318456!35326981!-	396	0.75	528	NC_060948.1	3337	3338	0.620843	0.62578	0.75	0.760101	0.747475	0.760101	0	4	{}	{(NC_060948.1,3337),(NC_060948.1,3338),(NC_060948.1,4068),(NC_060948.1,3304),}
S1_2809!NC_060948.1!2675530!2685076!+	466	0.75	621	NC_060948.1	212	213	0.0607966	0.672014	0.0665236	0.809013	0.0622318	0.809013	0	1	{}	{(NC_060948.1,213),}
